Movie,Release Date,Distributor,Genre,MPAA,Tickets Sold
Em La Ba Noi Cua Anh,3/11/16,CJ Entertainment,Comedy,Not Rated,"7,597"
Embrace,9/19/16,Gathr Films,Documentary,Not Rated,"47,669"
Embrace of the Serpent,2/17/16,Oscilloscope Pictures,Drama,Not Rated,"153,670"
Equals,7/15/16,A24,Drama,PG-13,"3,844"
Equity,7/29/16,Sony Pictures Classics,Drama,R,"185,602"
Eva Hesse,4/27/16,Zeitgeist,Documentary,Not Rated,"18,205"
Everybody Wants Some,3/30/16,Paramount Pictures,Comedy,R,"393,095"
Evolution,11/25/16,IFC Midnight,Horror,Not Rated,"2,721"
Eye in the Sky,3/11/16,Bleecker Street,Thriller/Suspense,R,"2,162,381"
Fan,4/15/16,Yash Raj Films,Thriller/Suspense,Not Rated,"195,361"
Fantastic Beasts and Where to Find Them,11/18/16,Warner Bros.,Adventure,PG-13,"25,742,841"
Fatima,8/26/16,Kino Lorber,Drama,Not Rated,"5,792"
Fences,12/16/16,Paramount Pictures,Drama,PG-13,"3,438,568"
Fifty Shades of Black,1/29/16,Open Road,Comedy,R,"1,351,091"
Final Fantasy XV: Kingsglaive,8/19/16,Stage 6 Films,Adventure,PG-13,"31,211"
Finding Dory,6/17/16,Walt Disney,Adventure,PG,"56,219,140"
Fire at Sea,10/21/16,Kino Lorber,Documentary,Not Rated,"7,678"
Fireworks Wednesday,3/16/16,Grasshopper Film,Drama,Not Rated,"10,464"
Fitoor,2/12/16,UTV Communications,Drama,Not Rated,"61,132"
Five Nights in Maine,8/5/16,FilmRise,Drama,Not Rated,"1,801"
Florence Foster Jenkins,8/12/16,Paramount Pictures,Drama,PG-13,"3,165,753"
For a Few Bullets,7/22/16,China Lion Film Distribution,Western,Not Rated,"3,484"
For the Love of Spock,9/9/16,Gravitas Ventures,Documentary,Not Rated,"9,264"
Francofonia,4/1/16,Music Box Films,Drama,Not Rated,"35,495"
Frank & Lola,12/9/16,Paladin,Drama,Not Rated,"1,062"
Free State of Jones,6/24/16,STX Entertainment,Drama,R,"2,405,784"
Fritz Langís Destiny,5/20/16,Kino Lorber,Thriller/Suspense,Not Rated,"1,405"
From Afar,6/8/16,Strand,Drama,Not Rated,"3,487"
Front Cover,8/5/16,Strand,Drama,Not Rated,"3,053"
Generation Found,8/29/16,Gathr Films,Documentary,Not Rated,"17,543"
Generation Startup,9/23/16,Long Shot Factory,Documentary,Not Rated,"2,574"
Genius,6/10/16,Roadside Attractions,Drama,PG-13,"157,346"
Gentleman,6/17/16,Gaatri Media,Thriller/Suspense,Not Rated,"103,800"
Germans and Jews,6/10/16,First Run Features,Documentary,Not Rated,"4,404"
Ghost Team,8/12/16,The Orchard,Comedy,PG-13,721
Ghostbusters,7/15/16,Sony Pictures,Comedy,PG-13,"14,838,216"
Gimme Danger,10/28/16,Magnolia Pictures,Documentary,R,"50,939"
Girl Asleep,9/23/16,Oscilloscope Pictures,Drama,Not Rated,"6,969"
Gleason,7/29/16,Open Road,Documentary,R,"67,656"
Godís Not Dead 2,4/1/16,Pure Flix Entertainment,Drama,PG,"2,401,510"
Gods of Egypt,2/26/16,Lionsgate,Adventure,PG-13,"3,601,556"
Golden Kingdom,6/17/16,Kino Lorber,Drama,Not Rated,933
Greater,8/26/16,Hammond Entertainment,Drama,PG,"231,224"
Green is Gold,10/7/16,Samuel Goldwyn Films,Drama,R,52
Green Room,4/15/16,A24,Horror,R,"372,297"
Gridiron Heroes,4/15/16,Indican Pictures,Documentary,Not Rated,"2,686"
Hacksaw Ridge,11/4/16,Lionsgate,Drama,R,"7,468,967"
"Hail, Caesar!",2/5/16,Universal,Comedy,PG-13,"3,477,482"
Hands of Stone,8/26/16,Weinstein Co.,Drama,R,"544,831"
Happy Bhaag Jayegi,8/19/16,Eros Entertainment,Romantic Comedy,Not Rated,"40,675"
Hardcore Henry,4/8/16,STX Entertainment,Action,R,"1,069,599"
Harry & Snowman,9/30/16,FilmRise,Documentary,Not Rated,"63,886"
Harry Benson: Shoot First,12/9/16,Magnolia Pictures,Documentary,Not Rated,"1,317"
Hell or High Water,8/12/16,Lionsgate,Western,R,"3,122,294"
"Hello, My Name is Doris",3/11/16,Roadside Attractions,Drama,R,"1,669,942"
Hidden Figures,12/25/16,20th Century Fox,Drama,PG,"229,706"
"Hieronymus Bosch, Touched by the Devil",7/27/16,Kino Lorber,Documentary,Not Rated,"19,946"
High Strung,4/8/16,Paladin,Drama,PG,"6,178"
High-Rise,5/13/16,Magnolia Pictures,Thriller/Suspense,R,"40,054"
Hillaryís America: The Secret History of the Democratic Party,7/15/16,Quality Flix,Documentary,PG-13,"1,514,442"
Hillsong: Let Hope Rise,9/16/16,Pure Flix Entertainment,Documentary,PG,"276,846"
Ho Mann Jahaan,1/1/16,Eros Entertainment,Musical,Not Rated,"24,116"
Hockney,4/22/16,Film Movement,Documentary,Not Rated,"13,958"
Holy Hell,5/27/16,WRA Productions LLC,Documentary,Not Rated,"2,086"
Homeland: Iraq Year Zero,10/6/16,Kino Lorber,Documentary,NC-17,287
Hooligan Sparrow,7/22/16,The Film Collaborative,Documentary,Not Rated,346
Hot Water,5/5/16,Indican Pictures,Documentary,Not Rated,"1,398"
Housefull 3,6/3/16,Eros Entertainment,Romantic Comedy,Not Rated,"153,410"
How He Fell in Love,7/8/16,Monument Releasing,Drama,Not Rated,"2,031"
How to be Single,2/12/16,Warner Bros.,Romantic Comedy,R,"5,415,435"
How to Let Go of the World and Love All The Things Climate Canît Change,4/20/16,International WOW,Documentary,Not Rated,"4,206"
Hunt for the Wilderpeople,6/24/16,The Orchard,Comedy,PG-13,"601,788"
Hyena Road,3/11/16,Samuel Goldwyn Films,Drama,R,165
I Am not Madame Bovary,11/18/16,Well Go USA,Drama,Not Rated,"50,396"
I Belonged to You,9/30/16,China Lion Film Distribution,Romantic Comedy,Not Rated,"85,954"
I Donít Belong Anywhere: The Cinema of Chantel Akerman,3/30/16,Icarus Films,Documentary,Not Rated,470
I Knew Her Well,2/5/16,Janus Films,Documentary,Not Rated,"2,082"
I Saw the Light,3/25/16,Sony Pictures Classics,Drama,R,"190,380"
Iím Not Ashamed,10/21/16,Pure Flix Entertainment,Drama,PG-13,"240,806"
Ice Age: Collision Course,7/22/16,20th Century Fox,Adventure,PG,"7,406,128"
In a Valley of Violence,10/21/16,Focus World,Western,R,"6,201"
In Harmony,4/15/16,Distrib Films,Drama,Not Rated,363
In Her Name,12/2/16,Distrib Films,Drama,Not Rated,187
In Order of Disappearance,8/26/16,Magnolia Pictures,Action,R,"5,809"
In the Shadow of Women,1/15/16,Distrib Films,Drama,Not Rated,"5,813"
Incarnate,12/2/16,High Top Releasing,Thriller/Suspense,PG-13,"554,887"
Independence Day: Resurgence,6/24/16,20th Century Fox,Action,PG-13,"11,924,194"
Indian Point,7/8/16,First Run Features,Documentary,Not Rated,838
Indignation,7/29/16,Roadside Attractions,Drama,R,"393,197"
Inferno,10/28/16,Sony Pictures,Thriller/Suspense,PG-13,"3,956,260"
Into the Forest,7/29/16,A24,Drama,R,"1,155"
Ip Man 3,1/22/16,Well Go USA,Action,PG-13,"309,761"
Is That a Gun in Your Pocket?,9/16/16,Area 23a,Comedy,R,"4,615"
Ism,10/14/16,Cinegalaxy,Action,Not Rated,"15,510"
It Had to be You,10/21/16,Samuel Goldwyn Films,Romantic Comedy,R,612
Itís Already Tomorrow in Hong Kong,2/12/16,Gravitas Ventures,Romantic Comedy,Not Rated,"1,730"
Jack Reacher: Never Go Back,10/21/16,Paramount Pictures,Action,PG-13,"6,771,620"
Jackie,12/2/16,Fox Searchlight,Drama,R,"747,945"
Jane Got a Gun,1/29/16,Weinstein Co.,Western,R,"175,004"
Jason Bourne,7/29/16,Universal,Action,PG-13,"18,750,626"
Jeremy,10/21/16,Sony Pictures,Comedy,PG-13,"74,878"
Jimmy Vestvood: Amerikan Hero,5/13/16,A24,Comedy,Not Rated,"26,597"
Julieta,12/21/16,Sony Pictures Classics,Drama,R,"23,510"
Kaashmora,10/28/16,Cinegalaxy,Action,Not Rated,"37,910"
Kabali,7/21/16,Cinegalaxy,Action,Not Rated,"451,224"
Kahaani 2,12/2/16,Eros Entertainment,Thriller/Suspense,Not Rated,"40,543"
Kaili Blues,5/20/16,Grasshopper Film,Drama,Not Rated,"3,176"
Kamikaze 89,6/3/16,Film Movement,Thriller/Suspense,Not Rated,"2,594"
Kapoor & Sons,3/18/16,FIP,Comedy,Not Rated,"301,391"
Kaptaan,5/20/16,UTV Communications,Documentary,Not Rated,"23,559"
Kate Plays Christine,8/26/16,Grasshopper Film,Documentary,Not Rated,"2,955"
Keanu,4/29/16,Warner Bros.,Comedy,R,"2,380,561"
Keeping Up with the Joneses,10/21/16,20th Century Fox,Comedy,PG-13,"1,723,055"
Kevin Hart: What Now?,10/14/16,Universal,Concert/Performance,R,"2,727,288"
Ki & Ka,4/1/16,Eros Entertainment,Comedy,Not Rated,"99,189"
Kicks,9/9/16,Focus World,Adventure,R,"17,363"
"Kiki, Love to Love",11/11/16,Strand,Romantic Comedy,Not Rated,"1,439"
"Kill Me, Deadly",4/1/16,Indican Pictures,Multiple Genres,Not Rated,"3,478"
King Cobra,10/21/16,IFC Midnight,Drama,PG-13,"8,637"
King Georges,2/26/16,IFC Films,Documentary,Not Rated,"5,972"
Klown Forever,9/2/16,Drafthouse Films,Comedy,Not Rated,658
Knight of Cups,3/4/16,Broad Green Pictures,Drama,R,"65,434"
Krisha,3/18/16,A24,Drama,R,"16,742"
Ktown Cowboys,3/18/16,Freestyle Releasing,Documentary,R,"2,180"
Kubo and the Two Strings,8/19/16,Focus Features,Adventure,PG,"5,551,802"
Kung Fu Panda 3,1/29/16,20th Century Fox,Adventure,PG,"16,592,903"
La La Land,12/9/16,Lionsgate,Musical,PG-13,"3,961,689"
Lamb,1/8/16,The Orchard,Drama,R,"1,681"
Landfill Harmonic,9/9/16,The Film Collaborative,Documentary,Not Rated,"1,989"
Last Cab to Darwin,6/10/16,First Run Features,Drama,Not Rated,"3,952"
Late Spring,3/4/16,Janus Films,Drama,Not Rated,"1,532"
Lazer Team,1/27/16,Rooster Teeth,Comedy,PG-13,"137,159"
League of Gods,7/29/16,Sony Pictures,Action,PG-13,"16,581"
Les Cowboys,6/24/16,Cohen Media Group,Western,R,"8,523"
"Life, Animated",7/1/16,The Orchard,Documentary,PG,"29,449"
Lights Out,7/22/16,Warner Bros.,Horror,PG-13,"7,776,744"
Like for Likes,2/26/16,CJ Entertainment,Romantic Comedy,Not Rated,"5,877"
Lion,11/25/16,Weinstein Co.,Drama,PG-13,"613,144"
Little Men,8/5/16,Magnolia Pictures,Drama,PG,"81,218"
Live by Night,12/25/16,Warner Bros.,Drama,R,"10,979"
"Lo And Behold, Reveries Of The Connected World",8/19/16,Magnolia Pictures,Documentary,PG-13,"68,775"
Lolo,3/11/16,FilmRise,Romantic Comedy,Not Rated,"2,790"
London Has Fallen,3/4/16,Focus Features,Action,R,"7,228,238"
Los sures,4/15/16,Oscilloscope Pictures,Documentary,Not Rated,"9,710"
Louder Than Bombs,4/8/16,The Orchard,Drama,R,"18,937"
Love & Friendship,5/13/16,Roadside Attractions,Drama,PG,"1,620,412"
Love Me True,8/12/16,Indican Pictures,Romantic Comedy,Not Rated,"2,323"
Loving,11/4/16,Focus Features,Drama,PG-13,"865,041"
Lucha Mexico,7/15/16,Kino Lorber,Documentary,Not Rated,"1,355"
